rmse,mae,r2,bias,model,horizon_bucket
1.828934392509366,1.337070300184097,0.7617072079437767,0.03257881415400593,mean,h9
1.8666673611330569,1.3274158682922177,0.7517732848980342,-0.06462352099192918,q50,h9
2.8846658003142154,2.2931290243386506,0.40720345496425137,2.058088810604703,q90,h9
3.4789635249484054,2.859305628398337,0.13778732439276276,2.73272976572987,q95,h9
1.7389249380343679,1.2819827747208574,0.713382921016759,0.09442337859571391,mean,h8
1.7712808548864638,1.2727809075611802,0.7026176074711132,-0.00045168747282148085,q50,h8
2.796665279754392,2.2390378362484595,0.2586532711960272,2.032551072931708,q90,h8
3.368483292044266,2.7859108156459875,-0.07549696512407267,2.6789264079449553,q95,h8
1.5970406527831442,1.1885750363695973,0.6782461017772272,0.1614532743192582,mean,h7
1.6114029913400931,1.173676983525446,0.6724329528395789,0.05995364881821789,q50,h7
2.630611759841586,2.1194087823510728,0.1270177986414075,1.9515212479404258,q90,h7
3.1998889677568587,2.6738187863473386,-0.2917000992712431,2.5889549049596026,q95,h7
1.4935585497088189,1.1257294634054347,0.587504979349883,0.19219746927686038,mean,h6
1.4905754481598026,1.1038143457386074,0.5891510958344832,0.09576660185677746,q50,h6
2.498267244063485,2.057563485872016,-0.15412272752413636,1.905488420124549,q90,h6
3.0199650826241604,2.571755868408103,-0.6864677826761252,2.4895615283383536,q95,h6
1.3462741577976514,1.016916050606877,0.5652434279193124,0.21814218090891452,mean,h5
1.347151539951631,0.999149355896892,0.5646765716778199,0.09998896676643364,q50,h5
2.233876333326568,1.8491090316341088,-0.19700893181818002,1.7061478337556382,q90,h5
2.6983451779622643,2.3089350760574185,-0.7465223452801066,2.2305352596590424,q95,h5
1.164448104772542,0.8725939266679851,0.6138179913912043,0.163740051742394,mean,h4
1.16892266628921,0.8619474988997681,0.6108443677773406,0.07247426140103957,q50,h4
1.9109929141404534,1.5786027459874918,-0.04008758812026092,1.4383949785019534,q90,h4
2.3251076327826463,1.9831247554915263,-0.5397062902081577,1.9051923990355972,q95,h4
0.9412987842434171,0.70866060262111,0.7156332250817828,0.14167103874870376,mean,h3
0.9657824781724071,0.6982155798593914,0.700647767872923,0.04718331442531902,q50,h3
1.5664568324494808,1.3067078493211564,0.21248158180366017,1.191686468613011,q90,h3
1.9154549888871086,1.6493555596862222,-0.17751855410268247,1.586052653430886,q95,h3
0.8072189994525667,0.6093751071497677,0.7644473793298858,0.08844853344509208,mean,h2
0.8402965922687794,0.5968630604828719,0.7447472707479224,-0.028075235885637418,q50,h2
1.3018853562985306,1.1069412281163542,0.38729605885156115,0.9872600044532955,q90,h2
1.64903668752066,1.4359084220987324,0.016972141859020073,1.3739691872773905,q95,h2
0.6244794830047742,0.4395089493669346,0.8626697513126214,0.03666312880350348,mean,h1
0.6870749757644977,0.4068919104678409,0.8337590086157805,-0.14803449501322813,q50,h1
1.0047371573763504,0.826642003879654,0.6445039454073633,0.7280656543174213,q90,h1
1.295892290481041,1.0997501883292067,0.4086185877538384,1.049584285232769,q95,h1
