month_num,n,rmse,mae,bias,horizon_bucket
1,403,1.8763442726995192,1.4342778552663697,-0.10811849827654756,h9
2,363,2.14044483174666,1.5621144348308964,-0.1473401324237635,h9
3,391,2.1920167165103135,1.5582491542828274,-0.0027487873691736217,h9
4,390,2.0801173069155996,1.4198196716863292,-0.059112257482672716,h9
5,403,1.9378089948643498,1.4434752783900304,0.09266771504339047,h9
6,390,1.7233479807324803,1.2091561830616009,0.06849131934416268,h9
7,403,1.5128237344455775,1.1261175646206187,0.11542825239600016,h9
8,403,1.5680910684068663,1.1755562683712197,0.2094667630488442,h9
9,390,1.717030909978821,1.2972057435427204,-0.03763383255361439,h9
10,403,1.6637414909915387,1.2402418294203572,0.15576647147320838,h9
11,390,1.6523397858406317,1.2626104853237203,0.06650411781331894,h9
12,403,1.7720397803276011,1.3397971808379594,0.0156948723217129,h9
1,403,1.7958177920812313,1.3870284118352703,-0.002145956811961354,h8
2,363,2.0396094080628213,1.494687931379208,-0.046047563873848125,h8
3,391,2.11777083751567,1.502259006036839,0.07310741311993187,h8
4,390,1.8124644618069523,1.281099748267055,-0.012783364898019569,h8
5,403,1.8096544584965983,1.319390417590693,0.1091589818396597,h8
6,390,1.6528381699616002,1.168961188536276,0.08734294775330996,h8
7,403,1.4904017039552124,1.0986879637897113,0.07002688746820017,h8
8,403,1.4632280416196757,1.1224397935447807,0.17065877039520433,h8
9,390,1.6918170455341257,1.2739957068067471,0.13808300649474564,h8
10,403,1.6511772398516222,1.2437417609821857,0.3607390150077326,h8
11,390,1.6565747244596476,1.267848256711317,0.14303880239909522,h8
12,403,1.6032749264687998,1.2469364373757108,0.02661429190034743,h8
1,403,1.701845164088378,1.3051540762673632,0.19136015655252187,h7
2,363,1.780623211076231,1.3439772875168767,0.0552725917706529,h7
3,391,1.760626598795969,1.2928849118979215,0.10582365494453248,h7
4,390,1.700332279233585,1.1911665608655644,-0.09384066117241685,h7
5,403,1.6244838061613838,1.1880114367447285,0.048841718560615845,h7
6,390,1.5357018529855142,1.0698133104326049,-0.04375621906913129,h7
7,403,1.3527647936269103,1.0153362431472261,0.08200583556934944,h7
8,403,1.3458642601866357,1.038562471146658,0.22740659057633766,h7
9,390,1.5479211383058593,1.1877150050579655,0.25810286563233065,h7
10,403,1.5637403048903742,1.1892885552006716,0.4603647296872454,h7
11,390,1.5977463133000094,1.2118749985854664,0.40764246310182173,h7
12,403,1.6104737974489187,1.2446225647712574,0.22222444118930187,h7
1,403,1.6166728660049385,1.2537979526906933,0.3013238281939352,h6
2,363,1.6105098970796163,1.2468267761711882,0.17571317384578233,h6
3,390,1.6937443280334212,1.246252306734183,0.016607209065764687,h6
4,390,1.6347023172810407,1.126757781753051,-0.07815938815956924,h6
5,403,1.4897110596228227,1.111444177598815,0.055745438713220394,h6
6,390,1.4337696695668483,1.0194567624551356,-0.08588359479856357,h6
7,403,1.2618070498364082,0.9449726532892995,0.0481397828766993,h6
8,403,1.2268734984431064,0.9704846985384911,0.20191454166076708,h6
9,390,1.4542838910066866,1.1211315804788056,0.279534285572176,h6
10,403,1.4564055805517713,1.1532197553420769,0.49108942240218156,h6
11,390,1.5285351609434297,1.203335140520702,0.5157824625496967,h6
12,403,1.4629795105871635,1.1259415033933229,0.3728261054914117,h6
1,403,1.5075717677315112,1.1838392441219912,0.45531380678957145,h5
2,363,1.454462199649568,1.1182794463881847,0.2022103981023126,h5
3,390,1.3911540634843607,1.0382890962368239,0.08874881708704419,h5
4,390,1.5006016136773495,1.027145572800578,-0.04323875778237884,h5
5,403,1.381426249076791,1.0380316057376457,0.035164763335877224,h5
6,390,1.3183146000443078,0.9325889127854221,-0.1649868556969526,h5
7,403,1.1401437386812363,0.8787163666367588,0.008168355128445654,h5
8,403,1.1001444846758863,0.8789358777409709,0.11135889252979232,h5
9,390,1.238890479229598,0.9815343523224276,0.2909531666390237,h5
10,403,1.2917954304799113,1.0206808487597727,0.5779665843070944,h5
11,390,1.3661129427137138,1.0639442892546707,0.5475325627343276,h5
12,403,1.4093625353686738,1.0497427797230945,0.49494273316063403,h5
1,403,1.2828543892500304,0.9918393588578494,0.26184080420019806,h4
2,364,1.2303876020384372,0.9385987111232998,0.16725554705074208,h4
3,396,1.2797865209844657,0.9363776215972003,0.23603628880800367,h4
4,390,1.3401712969051436,0.8774418712861354,-0.07698072033973408,h4
5,403,1.1683284478684572,0.8727164943349173,-0.00536133419405017,h4
6,390,1.1190079176245717,0.7963487105465371,-0.08470236730457964,h4
7,403,0.9491944435231496,0.7423846819390859,-0.03530312466247465,h4
8,403,1.030817575526,0.8089634212835461,0.12219021622573505,h4
9,390,1.0642812677950277,0.8332963410700029,0.18989604103467922,h4
10,403,1.085358818445013,0.8522967284400164,0.41982327132071423,h4
11,390,1.1938345572341391,0.9411470242501334,0.4181970444490826,h4
12,403,1.1777902125358408,0.8858522088466819,0.34685750334719395,h4
1,403,1.0801832807666873,0.8176242151318075,0.20706308871263723,h3
2,363,0.9985010484722489,0.745394965669567,0.13958351312350722,h3
3,390,0.9592110502775717,0.7184137842483626,0.12921627792504436,h3
4,390,1.0898414603444677,0.7316422186026379,-0.04433246026707368,h3
5,403,0.9706371018512098,0.7413505007017375,0.012468327242715413,h3
6,390,0.9054016887939998,0.655428922118259,-0.10516180947042982,h3
7,403,0.8077784280195867,0.6214432330518084,-0.046128951305115386,h3
8,403,0.8260381100266804,0.6486861106280771,0.11693786503442277,h3
9,390,0.8537798921185035,0.6658219659325759,0.1672822092443104,h3
10,403,0.8347956533401037,0.6777078062054553,0.34972380715879653,h3
11,390,0.9727849702510354,0.7711393623791155,0.4560309220145617,h3
12,403,0.9532021543864027,0.7128925999953754,0.31376505589148956,h3
1,403,0.89480283174949,0.6605979447352506,0.12157393367819305,h2
2,363,0.8478386496602511,0.6372677593490297,0.10517992509679314,h2
3,389,0.7730069716854427,0.5835980546378642,0.07367747810275331,h2
4,390,0.9638883903806459,0.6229797445744234,-0.08669419599892308,h2
5,403,0.8473587687272158,0.6488784587834173,0.01851996072695427,h2
6,390,0.8078200551174957,0.5727370430802347,-0.0947269238898505,h2
7,403,0.6972104500023646,0.5451059557246789,-0.0436181930353378,h2
8,403,0.6719264591598327,0.5314142454177245,0.09608250292643783,h2
9,390,0.7728031282515607,0.6346349808932964,0.08269062406218261,h2
10,403,0.7212020324837397,0.5884957557021002,0.23024378418842453,h2
11,390,0.7648599565527157,0.6260879845905937,0.30399679045124917,h2
12,403,0.878883482957777,0.6631873249880461,0.2508130400502212,h2
1,403,0.7694493264014561,0.49693661946495177,-0.00795003442513607,h1
2,363,0.6875914275693166,0.4858110431686695,0.07445235632463933,h1
3,401,0.6089822207948226,0.43402990685703513,0.05669857332208698,h1
4,390,0.7593305721173951,0.47685987623279036,-0.04093854309811374,h1
5,403,0.6617186985287805,0.45152682129523025,-0.024619783673082825,h1
6,390,0.6274016024829752,0.43848439916142934,-0.03955029914199223,h1
7,403,0.5593552904721897,0.40564077398628956,-0.04618126789064069,h1
8,403,0.4790435129033248,0.3698182870082049,0.04596873828122896,h1
9,390,0.561863897792457,0.42312560395195564,0.031459014980181506,h1
10,403,0.5527513121986426,0.4263654531299141,0.11360853631237533,h1
11,390,0.5218821390680178,0.4184637178511043,0.16211059280800383,h1
12,403,0.638779430858121,0.45157788549051237,0.11766692547580514,h1
