hour_num,rows,mae,rmse,bias
5,470,0.9459477642057936,1.3019674924594424,0.0014558695810444114
6,2022,1.0809876556236695,1.5075119064515683,0.08026228596104919
7,3922,1.332264993756079,1.8375886657912683,0.031147486170675504
8,4701,1.2785438851436057,1.7299748739410916,0.15279675665528936
9,4732,1.209957426892186,1.6059303731253942,0.16536681334515949
10,4731,1.097138810327464,1.454397118324646,0.2442519124798375
11,4731,0.9688736885820782,1.2946794313385763,0.2071489063275051
12,4732,0.828788063581149,1.1129988726373938,0.12992483406527564
13,4737,0.7049722716212262,0.9440318248972823,0.11872331579299909
14,4263,0.5645136210402729,0.77425146363624,0.05252441701107848
15,2714,0.4646588164724362,0.649182933421654,0.007070497398671633
16,813,0.37442488218588516,0.48060034138901886,-0.004462988698714768
17,31,0.5380869717239671,0.6680264889315074,-0.14116114154179016
